ID	File	Case	Function	PoS
1	TOR_C_00028_tagged.txt	na-OBL	IO	NOUN
4	TOR_C_0080_tagged.txt	na-OBL	IO	NOUN
6	TOR_C_0060_tagged.txt	na-OBL	IO	NOUN
7	TOR_C_0085_tagged.txt	na-OBL	IO	PRONOUN
9	TOR_C_00030_tagged.txt	na-OBL	IO	NOUN
12	TOR_C_00032_tagged.txt	na-OBL	IO	NOUN
15	TOR_C_0055_tagged.txt	na-OBL	IO	NOUN
16	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
17	TOR_C_00017_tagged.txt	na-OBL	IO	NOUN
18	TOR_C_00018_tagged.txt	na-OBL	IO	NOUN
19	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
20	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
21	TOR_C_00018_tagged.txt	na-OBL	IO	NOUN
22	TOR_C_0050_tagged.txt	na-OBL	IO	NOUN
23	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
24	TOR_C_0077_tagged.txt	na-OBL	IO	NOUN
25	TOR_C_0079_tagged.txt	na-OBL	IO	NOUN
26	TOR_C_0071_tagged.txt	na-OBL	IO	NOUN
27	TOR_C_0080_tagged.txt	na-OBL	IO	NOUN
28	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
29	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
30	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
31	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
32	TOR_C_0064_tagged.txt	na-OBL	IO	NOUN
33	TOR_C_0064_tagged.txt	na-OBL	IO	NOUN
34	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
35	TOR_C_00034_tagged.txt	na-OBL	IO	NOUN
36	TOR_C_0070_tagged.txt	na-OBL	IO	NOUN
37	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
38	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
39	TOR_C_0089_tagged.txt	na-OBL	IO	NOUN
40	TOR_C_00034_tagged.txt	na-OBL	IO	NOUN
41	TOR_C_00019_tagged.txt	na-OBL	IO	NOUN
42	TOR_C_00019_tagged.txt	na-OBL	IO	NOUN
43	TOR_C_0061_tagged.txt	na-OBL	IO	NOUN
44	TOR_C_00019_tagged.txt	na-OBL	IO	NOUN
45	TOR_C_0075_tagged.txt	na-OBL	IO	NOUN
46	TOR_C_0041_tagged.txt	na-OBL	IO	NOUN
47	TOR_C_0080_tagged.txt	na-OBL	IO	NOUN
48	TOR_C_0041_tagged.txt	na-OBL	IO	NOUN
49	TOR_C_0086_tagged.txt	na-OBL	IO	NOUN
50	TOR_C_0051_tagged.txt	na-OBL	IO	NOUN
52	TOR_C_0049_tagged.txt	na-OBL	IO	NOUN
54	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
55	TOR_C_00020_tagged.txt	na-OBL	IO	NOUN
59	TOR_C_00030_tagged.txt	na-OBL	IO	NOUN
60	TOR_C_0047_tagged.txt	na-OBL	IO	NOUN
61	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
62	TOR_C_00010_tagged.txt	na-OBL	IO	NOUN
64	TOR_C_0008_tagged.txt	na-OBL	IO	NOUN
65	TOR_C_0007_tagged.txt	na-OBL	IO	NOUN
66	TOR_C_00027_tagged.txt	na-OBL	IO	NOUN
67	TOR_C_0073_tagged.txt	na-OBL	IO	NOUN
68	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
69	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
70	TOR_C_00020_tagged.txt	na-OBL	IO	NOUN
71	TOR_C_0079_tagged.txt	na-OBL	IO	NOUN
72	TOR_C_0089_tagged.txt	na-OBL	IO	NOUN
73	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
