LOCATION,FreqNA.Oblq,FreqDAT,ALL,FreqNA.ALL,FreqDAT.ALL,LATITUDE,LONGITUDE,Location,Altitude,DIST_Bul,DIST_city
Aldinac,10,0,10,100,0,43.5428714,22.4199196,37,623,4.42,16.44
Balanovac,16,10,26,61.53846154,38.46153846,43.5899277,22.133674,60,327,25.81,7.04
Balinac,22,3,25,88,12,43.5646192,22.3557611,19,605,7.45,11.58
Balta Berilovac,2,5,7,28.57142857,71.42857143,43.395682,22.458715,52,419,9.85,27
Borovac,10,6,16,62.5,37.5,43.7382209,22.0093976,55,199,7.99,18.68
Bu?je,23,4,27,85.18518519,14.81481481,43.6785311,22.0925613,15,514,20,16.05
Bulinovac,0,2,2,0,100,43.603389,22.1680926,56,334,20.84,6.97
Crni Vrh,2,1,3,66.66666667,33.33333333,43.4024789,22.5246562,39,729,3.63,32.05
?uštica,3,0,3,100,0,43.3569832,22.471588,23,794,10.02,33.74
Debelica,3,0,3,100,0,43.6563506,22.2290753,34,247,13.12,10.8
Donja Kamenica,26,1,27,96.2962963,3.703703704,43.4765163,22.284736,30,281,14.77,10.35
Dre?inovac,5,1,6,83.33333333,16.66666667,43.6247517,22.1785641,8,315,23.25,8.14
Drenovac,15,4,19,78.94736842,21.05263158,43.693333,22.271111,59,206,10.89,14.18
Drvnik,21,0,21,100,0,43.5380928,22.373743,10,597,7.92,11.96
Gabrovnica,11,0,11,100,0,43.4510139,22.3809402,40,376,9.47,19.77
Glogovac,3,0,3,100,0,43.5657135,22.1901511,49,304,23.27,4.39
Gornja Bela Reka,1,0,1,100,0,43.7638259,22.1649166,7,235,38.61,23.97
Gornja Sokolovica,14,0,14,100,0,43.5208244,22.3176096,9,305,13.23,8.34
Gornje Zuni?e,3,1,4,75,25,43.6040111,22.2726774,24,235,16.43,4.13
Gradište,9,0,9,100,0,43.525366,22.3472212,51,352,11.16,10.41
Guševac,6,0,6,100,0,43.3907006,22.2558546,41,521,23.66,19.56
Inovo,12,0,12,100,0,43.4128949,22.4115079,18,373,23.27,10.7
Jakovac,10,8,18,55.55555556,44.44444444,43.6396024,22.3007863,20,264,8.9,11.73
Jalovik Izvor,3,2,5,60,40,43.3885095,22.3518556,31,628,15.92,21.71
Janja,16,3,19,84.21052632,15.78947368,43.4110491,22.5156693,29,509,6.46,27.41
Jelašnica,6,0,6,100,0,43.6372203,22.2849081,27,259,11.24,8.55
Kandalica,3,1,4,75,25,43.5448132,22.3091554,17,388,12.74,7.84
Knjaževac,0,10,10,0,100,43.5685949,22.2146125,61,234,19.23,0.01
Koželj,1,0,1,100,0,43.7012354,22.122858,16,483,16.18,13.51
Krenta,8,2,10,80,20,43.4796333,22.2175307,42,642,21.04,9.73
Lepena,27,0,27,100,0,43.6440399,22.1964597,2,315,17.35,9.05
Leskovac,5,2,7,71.42857143,28.57142857,43.8124103,22.1721277,50,204,12.61,26.75
Lokva,6,0,6,100,0,43.5850474,22.1935821,53,525,12.99,6.48
Mali Izvor,13,0,13,100,0,43.7367708,22.3332087,11,205,5.99,18.24
Marinovac,8,2,10,80,20,43.7289829,22.1742719,33,464,15,20
Mini?evo,39,4,43,90.69767442,9.302325581,43.6899103,22.2722911,32,194,9.25,13.66
Novo Korito,8,0,8,100,0,43.6319102,22.3780715,25,423,3.11,17.68
Orešac,5,0,5,100,0,43.5227211,22.1744441,43,342,24.19,6.25
Ošljane,4,1,5,80,20,43.6619403,22.3198824,1,520,3.06,16.11
Petruša,12,0,12,100,0,43.6451933,22.3207421,44,243,7.59,12.56
Ponor,13,7,20,65,35,43.4981271,22.1893781,21,510,21.73,7.73
Pri?evac,3,1,4,75,25,43.4948949,22.3704814,38,471,10.48,12.82
Radi?evac,17,0,17,100,0,43.5878704,22.4054141,45,591,13.37,5.64
Rgošte,2,1,3,66.66666667,33.33333333,43.5421972,22.1922969,46,260,22.66,4.16
Šarbanovac,5,0,5,100,0,43.599566,22.3428224,35,229,25.38,10
Sela?ka,17,10,27,62.96296296,37.03703704,43.7048679,22.31416,58,288,6.37,16.23
Šesti Gabar,14,2,16,87.5,12.5,43.4286652,22.3310848,14,678,15.43,18.51
Stara Kalna,13,4,17,76.47058824,23.52941176,43.4218071,22.3796648,47,403,14.94,20.72
Staro Korito,4,0,4,100,0,43.553737,22.3410441,54,423,10.86,8.98
Štipina,8,0,8,100,0,43.6044134,22.2263716,36,223,18.4,3.51
Tijovac,1,0,1,100,0,43.4605466,22.2029399,62,633,25.94,12.69
Trgovište,4,1,5,80,20,43.5559776,22.2689437,3,230,16.56,2.62
Trnovac,13,0,13,100,0,43.6778332,22.2371434,26,225,11.83,12.56
Vasilj,15,5,20,75,25,43.5656435,22.1043201,6,415,26.75,7.51
Vlahovo,32,4,36,88.88888889,11.11111111,43.4221232,22.2966871,28,568,17.39,17.1
Vrbica,7,0,7,100,0,43.715833,22.264444,48,213,10.35,16.73
Žlne,3,0,3,100,0,43.5217533,22.2310065,5,320,20.28,5.1
Zorunovac,3,0,3,100,0,43.622745,22.0874547,57,527,25.83,12.75
Žukovac,2,0,2,100,0,43.5303452,22.2819041,4,274,15.57,5.89
