SPEAKER,TRANSCRIPT,AGE,GENDER,N of NA+Oblq,N of DAT,ALL ,Freq NA+Obl/ ALL,Freq DAT / ALL,
RS_TV_tagged.txt,TOR_C_0042_tagged.txt,missing,missing,1,0,1,100,0,
TIM_SPK_0001_tagged.txt,TOR_C_0001_tagged.txt,older,female,0,2,2,0,100,
TIM_SPK_0002_tagged.txt,TOR_C_0002_tagged.txt,missing,female,4,1,5,80,20,
TIM_SPK_0003_tagged.txt,TOR_C_0003_tagged.txt,older,female,21,0,21,100,0,
TIM_SPK_0005_tagged.txt,TOR_C_0004_tagged.txt,older,female,14,3,17,82.35294118,17.64705882,
TIM_SPK_0007_tagged.txt,TOR_C_0005_tagged.txt,older,female,3,0,3,100,0,
TIM_SPK_0008_tagged.txt,TOR_C_0006_tagged.txt,older,female,3,1,4,75,25,
TIM_SPK_0009_tagged.txt,TOR_C_0008_tagged.txt,older,female,8,0,8,100,0,
TIM_SPK_0011_tagged.txt,TOR_C_0009_tagged.txt,older,female,13,0,13,100,0,
TIM_SPK_0012_tagged.txt,TOR_C_0010_tagged.txt,older,female,6,0,6,100,0,
TIM_SPK_0014_tagged.txt,TOR_C_00011_tagged.txt,younger,male,14,0,14,100,0,
TIM_SPK_0015_tagged.txt,TOR_C_00013_tagged.txt,older,female,0,1,1,0,100,
TIM_SPK_0018_tagged.txt,TOR_C_00015_tagged.txt,missing,female,2,0,2,100,0,
TIM_SPK_0020_tagged.txt,TOR_C_00016_tagged.txt,missing,female,3,0,3,100,0,
TIM_SPK_0021_tagged.txt,TOR_C_0100_tagged.txt,older,female,15,5,20,75,25,
TIM_SPK_0022_tagged.txt,TOR_C_00017_tagged.txt,missing,missing,1,0,1,100,0,
TIM_SPK_0025_tagged.txt,TOR_C_00018_tagged.txt,older,female,5,1,6,83.33333333,16.66666667,
TIM_SPK_0028_tagged.txt,TOR_C_00019_tagged.txt,older,female,14,0,14,100,0,
TIM_SPK_0031_tagged.txt,TOR_C_00020_tagged.txt,older,female,9,0,9,100,0,
TIM_SPK_0034_tagged.txt,TOR_C_00020_tagged.txt,missing,female,4,0,4,100,0,
TIM_SPK_0037_tagged.txt,TOR_C_00023_tagged.txt,older,female,10,2,12,83.33333333,16.66666667,
TIM_SPK_0038_tagged.txt,TOR_C_00023_tagged.txt,older,female,4,0,4,100,0,
TIM_SPK_0040_tagged.txt,TOR_C_00024_tagged.txt,older,female,22,4,26,84.61538462,15.38461538,
TIM_SPK_0041_tagged.txt,TOR_C_00024_tagged.txt,older,female,1,0,1,100,0,
TIM_SPK_0043_tagged.txt,TOR_C_00025_tagged.txt,older,female,1,0,1,100,0,
TIM_SPK_0046_tagged.txt,TOR_C_00027_tagged.txt,missing,female,3,1,4,75,25,
TIM_SPK_0047_tagged.txt,TOR_C_00028_tagged.txt,older,female,4,0,4,100,0,
TIM_SPK_0049_tagged.txt,TOR_C_00029_tagged.txt,older,female,8,0,8,100,0,
TIM_SPK_0050_tagged.txt,TOR_C_00032_tagged.txt,older,female,10,8,18,55.55555556,44.44444444,
TIM_SPK_0054_tagged.txt,TOR_C_00033_tagged.txt,older,female,8,0,8,100,0,
TIM_SPK_0056_tagged.txt,TOR_C_00034_tagged.txt,older,female,5,0,5,100,0,
TIM_SPK_0057_tagged.txt,TOR_C_00034_tagged.txt,older,female,6,4,10,60,40,
TIM_SPK_0058_tagged.txt,TOR_C_00034_tagged.txt,older,female,2,3,5,40,60,
TIM_SPK_0061_tagged.txt,TOR_C_0037_tagged.txt,missing,female,30,4,34,88.23529412,11.76470588,
TIM_SPK_0062_tagged.txt,TOR_C_0053_tagged.txt,missing,male,2,0,2,100,0,
TIM_SPK_0063_tagged.txt,TOR_C_0038_tagged.txt,older,female,14,0,14,100,0,
TIM_SPK_0068_tagged.txt,TOR_C_0041_tagged.txt,older,female,10,0,10,100,0,
TIM_SPK_0069_tagged.txt,TOR_C_0041_tagged.txt,missing,female,16,1,17,94.11764706,5.882352941,
TIM_SPK_0071_tagged.txt,TOR_C_0042_tagged.txt,older,female,3,0,3,100,0,
TIM_SPK_0075_tagged.txt,TOR_C_0045_tagged.txt,missing,female,38,2,40,95,5,
TIM_SPK_0076_tagged.txt,TOR_C_0086_tagged.txt,missing,female,16,10,26,61.53846154,38.46153846,
TIM_SPK_0077_tagged.txt,TOR_C_0045_tagged.txt,missing,female,0,2,2,0,100,
TIM_SPK_0080_tagged.txt,TOR_C_0045_tagged.txt,missing,female,1,0,1,100,0,
TIM_SPK_0082_tagged.txt,TOR_C_0046_tagged.txt,older,female,8,1,9,88.88888889,11.11111111,
TIM_SPK_0083_tagged.txt,TOR_C_0046_tagged.txt,missing,male,0,1,1,0,100,
TIM_SPK_0085_tagged.txt,TOR_C_0047_tagged.txt,missing,female,3,0,3,100,0,
TIM_SPK_0087_tagged.txt,TOR_C_0048_tagged.txt,missing,female,5,0,5,100,0,
TIM_SPK_0088_tagged.txt,TOR_C_0049_tagged.txt,older,female,13,0,13,100,0,
TIM_SPK_0095_tagged.txt,TOR_C_0050_tagged.txt,older,female,8,0,8,100,0,
TIM_SPK_0096_tagged.txt,TOR_C_0051_tagged.txt,older,female,10,0,10,100,0,
TIM_SPK_0098_tagged.txt,TOR_C_0052_tagged.txt,older,female,3,1,4,75,25,
TIM_SPK_0101_tagged.txt,TOR_C_0055_tagged.txt,older,female,2,1,3,66.66666667,33.33333333,
TIM_SPK_0104_tagged.txt,TOR_C_0058_tagged.txt,older,male,11,0,11,100,0,
TIM_SPK_0106_tagged.txt,TOR_C_0059_tagged.txt,older,female,6,0,6,100,0,
TIM_SPK_0109_tagged.txt,TOR_C_0061_tagged.txt,older,female,8,2,10,80,20,
TIM_SPK_0111_tagged.txt,TOR_C_0062_tagged.txt,older,male,5,0,5,100,0,
TIM_SPK_0115_tagged.txt,TOR_C_0064_tagged.txt,older,female,12,0,12,100,0,
TIM_SPK_0118_tagged.txt,TOR_C_0101_tagged.txt,missing,male,2,3,5,40,60,
TIM_SPK_0119_tagged.txt,TOR_C_0066_tagged.txt,older,female,17,0,17,100,0,
TIM_SPK_0121_tagged.txt,TOR_C_0067_tagged.txt,older,female,2,1,3,66.66666667,33.33333333,
TIM_SPK_0123_tagged.txt,TOR_C_0068_tagged.txt,older,female,0,3,3,0,100,
TIM_SPK_0125_tagged.txt,TOR_C_0069_tagged.txt,older,female,13,1,14,92.85714286,7.142857143,
TIM_SPK_0127_tagged.txt,TOR_C_0070_tagged.txt,older,female,7,0,7,100,0,
TIM_SPK_0129_tagged.txt,TOR_C_0071_tagged.txt,older,female,3,0,3,100,0,
TIM_SPK_0131_tagged.txt,TOR_C_0072_tagged.txt,older,female,2,0,2,100,0,
TIM_SPK_0133_tagged.txt,TOR_C_0073_tagged.txt,older,female,5,0,5,100,0,
TIM_SPK_0134_tagged.txt,TOR_C_0073_tagged.txt,older,female,4,0,4,100,0,
TIM_SPK_0135_tagged.txt,TOR_C_0074_tagged.txt,older,male,3,2,5,60,40,
TIM_SPK_0137_tagged.txt,TOR_C_0075_tagged.txt,older,male,2,5,7,28.57142857,71.42857143,
TIM_SPK_0139_tagged.txt,TOR_C_0076_tagged.txt,older,female,6,0,6,100,0,
TIM_SPK_0141_tagged.txt,TOR_C_0079_tagged.txt,missing,female,4,0,4,100,0,
TIM_SPK_0142_tagged.txt,TOR_C_0080_tagged.txt,older,male,9,6,15,60,40,
TIM_SPK_0143_tagged.txt,TOR_C_0080_tagged.txt,older,female,1,0,1,100,0,
TIM_SPK_0145_tagged.txt,TOR_C_0081_tagged.txt,older,male,0,2,2,0,100,
TIM_SPK_0147_tagged.txt,TOR_C_0082_tagged.txt,missing,female,1,0,1,100,0,
TIM_SPK_0148_tagged.txt,TOR_C_0082_tagged.txt,missing,male,1,0,1,100,0,
TIM_SPK_0150_tagged.txt,TOR_C_0082_tagged.txt,missing,female,1,0,1,100,0,
TIM_SPK_0151_tagged.txt,TOR_C_0083_tagged.txt,older,female,17,9,26,65.38461538,34.61538462,
TIM_SPK_0153_tagged.txt,TOR_C_0083_tagged.txt,missing,male,0,1,1,0,100,
TIM_SPK_0154_tagged.txt,TOR_C_0084_tagged.txt,older,male,0,2,2,0,100,
TIM_SPK_0157_tagged.txt,TOR_C_0089_tagged.txt,older,female,15,2,17,88.23529412,11.76470588,
TIM_SPK_0159_tagged.txt,TOR_C_0092_tagged.txt,younger,male,0,1,1,0,100,
TIM_SPK_0160_tagged.txt,TOR_C_0093_tagged.txt,younger,female,0,2,2,0,100,
TIM_SPK_0162_tagged.txt,TOR_C_0095_tagged.txt,younger,male,0,3,3,0,100,
TIM_SPK_0164_tagged.txt,TOR_C_0097_tagged.txt,younger,male,0,2,2,0,100,
TIM_SPK_0165_tagged.txt,TOR_C_0098_tagged.txt,younger,male,0,2,2,0,100,
TIM_SPK_0168_tagged.txt,TOR_C_0099_tagged.txt,younger,male,4,0,4,100,0,
