SPEAKER,TRANSCRIPT,AGE,GENDER,N of NA+Oblq,N of DAT,ALL,Freq NA+Obl/ ALL,Freq DAT / ALL
RS_TV_tagged.txt,TOR_C_0042_tagged.txt,missing,missing,0,2,2,0,100
TIM_SPK_0002_tagged.txt,TOR_C_0002_tagged.txt,missing,female,5,0,5,100,0
TIM_SPK_0003_tagged.txt,TOR_C_0003_tagged.txt,older,female,3,1,4,75,25
TIM_SPK_0007_tagged.txt,TOR_C_0005_tagged.txt,older,female,0,1,1,0,100
TIM_SPK_0009_tagged.txt,TOR_C_0007_tagged.txt,older,female,1,0,1,100,0
TIM_SPK_0012_tagged.txt,TOR_C_00010_tagged.txt,older,female,2,0,2,100,0
TIM_SPK_0014_tagged.txt,TOR_C_00011_tagged.txt,younger,male,0,1,1,0,100
TIM_SPK_0020_tagged.txt,TOR_C_00016_tagged.txt,missing,female,0,5,5,0,100
TIM_SPK_0028_tagged.txt,TOR_C_00019_tagged.txt,older,female,5,0,5,100,0
TIM_SPK_0031_tagged.txt,TOR_C_00020_tagged.txt,older,female,2,0,2,100,0
TIM_SPK_0037_tagged.txt,TOR_C_00023_tagged.txt,older,female,1,2,3,33.33333333,66.66666667
TIM_SPK_0046_tagged.txt,TOR_C_00027_tagged.txt,missing,female,2,1,3,66.66666667,33.33333333
TIM_SPK_0050_tagged.txt,TOR_C_00030_tagged.txt,older,female,0,2,2,0,100
TIM_SPK_0054_tagged.txt,TOR_C_00033_tagged.txt,older,female,2,0,2,100,0
TIM_SPK_0057_tagged.txt,TOR_C_00034_tagged.txt,older,female,0,4,4,0,100
TIM_SPK_0058_tagged.txt,TOR_C_00034_tagged.txt,older,female,0,3,3,0,100
TIM_SPK_0061_tagged.txt,TOR_C_0037_tagged.txt,missing,female,1,3,4,25,75
TIM_SPK_0063_tagged.txt,TOR_C_0040_tagged.txt,older,female,3,0,3,100,0
TIM_SPK_0068_tagged.txt,TOR_C_0041_tagged.txt,older,female,1,0,1,100,0
TIM_SPK_0069_tagged.txt,TOR_C_0041_tagged.txt,missing,female,3,1,4,75,25
TIM_SPK_0075_tagged.txt,TOR_C_0045_tagged.txt,missing,female,1,1,2,50,50
TIM_SPK_0076_tagged.txt,TOR_C_0086_tagged.txt,missing,female,1,8,9,11.11111111,88.88888889
TIM_SPK_0083_tagged.txt,TOR_C_0046_tagged.txt,missing,male,0,1,1,0,100
TIM_SPK_0088_tagged.txt,TOR_C_0049_tagged.txt,older,female,1,0,1,100,0
TIM_SPK_0095_tagged.txt,TOR_C_0050_tagged.txt,older,female,1,0,1,100,0
TIM_SPK_0098_tagged.txt,TOR_C_0052_tagged.txt,older,female,0,1,1,0,100
TIM_SPK_0101_tagged.txt,TOR_C_0055_tagged.txt,older,female,0,1,1,0,100
TIM_SPK_0104_tagged.txt,TOR_C_0056_tagged.txt,older,male,1,0,1,100,0
TIM_SPK_0106_tagged.txt,TOR_C_0060_tagged.txt,older,female,1,0,1,100,0
TIM_SPK_0111_tagged.txt,TOR_C_0062_tagged.txt,older,male,1,0,1,100,0
TIM_SPK_0115_tagged.txt,TOR_C_0064_tagged.txt,older,female,1,0,1,100,0
TIM_SPK_0118_tagged.txt,TOR_C_0101_tagged.txt,missing,male,0,3,3,0,100
TIM_SPK_0119_tagged.txt,TOR_C_0066_tagged.txt,older,female,8,0,8,100,0
TIM_SPK_0121_tagged.txt,TOR_C_0067_tagged.txt,older,female,0,1,1,0,100
TIM_SPK_0123_tagged.txt,TOR_C_0068_tagged.txt,older,female,0,3,3,0,100
TIM_SPK_0125_tagged.txt,TOR_C_0069_tagged.txt,older,female,1,1,2,50,50
TIM_SPK_0135_tagged.txt,TOR_C_0074_tagged.txt,older,male,0,2,2,0,100
TIM_SPK_0137_tagged.txt,TOR_C_0075_tagged.txt,older,male,0,5,5,0,100
TIM_SPK_0141_tagged.txt,TOR_C_0079_tagged.txt,missing,female,1,0,1,100,0
TIM_SPK_0142_tagged.txt,TOR_C_0080_tagged.txt,older,male,0,6,6,0,100
TIM_SPK_0151_tagged.txt,TOR_C_0083_tagged.txt,older,female,1,7,8,12.5,87.5
TIM_SPK_0153_tagged.txt,TOR_C_0083_tagged.txt,missing,male,0,1,1,0,100
TIM_SPK_0154_tagged.txt,TOR_C_0084_tagged.txt,older,male,0,2,2,0,100
TIM_SPK_0157_tagged.txt,TOR_C_0089_tagged.txt,older,female,1,1,2,50,50
TIM_SPK_0159_tagged.txt,TOR_C_0092_tagged.txt,younger,male,0,1,1,0,100
TIM_SPK_0162_tagged.txt,TOR_C_0095_tagged.txt,younger,male,0,3,3,0,100
TIM_SPK_0164_tagged.txt,TOR_C_0097_tagged.txt,younger,male,0,2,2,0,100
TIM_SPK_0165_tagged.txt,TOR_C_0098_tagged.txt,younger,male,0,1,1,0,100
,,,,51,77,,,
