ID	NORM_ART	YEAR_OF_BIRTH	AGE	OLD
TIM_SPK_0001	59.64	1925	OLD	1
TIM_SPK_0003	147.87	1930	OLD	1
TIM_SPK_0004	0.00	1954	OLD	1
TIM_SPK_0005	587.30	1957	OLD	1
TIM_SPK_0006	0.00	1957	OLD	1
TIM_SPK_0007	61.16	1927	OLD	1
TIM_SPK_0008	0.00	1940	OLD	1
TIM_SPK_0009	48.88	1941	OLD	1
TIM_SPK_0011	744.68	1947	OLD	1
TIM_SPK_0012	7.99	1924	OLD	1
TIM_SPK_0013	775.13	1927	OLD	1
TIM_SPK_0014	314.14	2000	YOUNG	0
TIM_SPK_0015	109.77	1934	OLD	1
TIM_SPK_0017	21.70	1937	OLD	1
TIM_SPK_0021	14.16	1932	OLD	1
TIM_SPK_0025	15.53	1930	OLD	1
TIM_SPK_0028	671.91	1952	OLD	1
TIM_SPK_0029	0.00	1967	OLD	1
TIM_SPK_0030	0.00	1962	OLD	1
TIM_SPK_0031	221.28	1925	OLD	1
TIM_SPK_0032	92.02	1935	OLD	1
TIM_SPK_0035	1278.54	1941	OLD	1
TIM_SPK_0036	0.00	1938	OLD	1
TIM_SPK_0037	120.59	1954	OLD	1
TIM_SPK_0038	64.72	1935	OLD	1
TIM_SPK_0040	162.76	1840	OLD	1
TIM_SPK_0041	70.18	1921	OLD	1
TIM_SPK_0042	0.00	1938	OLD	1
TIM_SPK_0043	0.00	1943	OLD	1
TIM_SPK_0044	0.00	1957	OLD	1
TIM_SPK_0045	13.05	1957	OLD	1
TIM_SPK_0047	206.19	1933	OLD	1
TIM_SPK_0048	0.00	1935	OLD	1
TIM_SPK_0049	213.05	1942	OLD	1
TIM_SPK_0050	150.70	1936	OLD	1
TIM_SPK_0052	0.00	1957	OLD	1
TIM_SPK_0054	458.02	1932	OLD	1
TIM_SPK_0056	0.00	1945	OLD	1
TIM_SPK_0057	71.63	1941	OLD	1
TIM_SPK_0058	0.00	1949	OLD	1
TIM_SPK_0059	0.00	1937	OLD	1
TIM_SPK_0063	854.89	1930	OLD	1
TIM_SPK_0068	322.58	1936	OLD	1
TIM_SPK_0071	176.77	1942	OLD	1
TIM_SPK_0072	100.25	1927	OLD	1
TIM_SPK_0081	7.47	1936	OLD	1
TIM_SPK_0087	165.42	1940	OLD	1
TIM_SPK_0094	102.52	1926	OLD	1
TIM_SPK_0095	121.21	1923	OLD	1
TIM_SPK_0097	571.05	1945	OLD	1
TIM_SPK_0100	412.64	1944	OLD	1
TIM_SPK_0103	153.85	1920	OLD	1
TIM_SPK_0105	12.69	1928	OLD	1
TIM_SPK_0106	0.00	1982	OLD	1
TIM_SPK_0108	0.00	1947	OLD	1
TIM_SPK_0110	10.72	1932	OLD	1
TIM_SPK_0112	0.00	1925	OLD	1
TIM_SPK_0114	48.60	1927	OLD	1
TIM_SPK_0118	116.05	1937	OLD	1
TIM_SPK_0119	0.00	1953	OLD	1
TIM_SPK_0120	43.60	1924	OLD	1
TIM_SPK_0122	34.01	1938	OLD	1
TIM_SPK_0124	163.27	1937	OLD	1
TIM_SPK_0126	69.24	1926	OLD	1
TIM_SPK_0128	0.00	1943	OLD	1
TIM_SPK_0130	0.00	1941	OLD	1
TIM_SPK_0132	125.39	1962	OLD	1
TIM_SPK_0133	127.66	1937	OLD	1
TIM_SPK_0134	0.00	1939	OLD	1
TIM_SPK_0136	355.24	1933	OLD	1
TIM_SPK_0138	189.16	1939	OLD	1
TIM_SPK_0141	0.00	1935	OLD	1
TIM_SPK_0142	0.00	1937	OLD	1
TIM_SPK_0144	18.98	1957	OLD	1
TIM_SPK_0150	6.36	1933	OLD	1
TIM_SPK_0153	0.00	1929	OLD	1
TIM_SPK_0156	193.72	1929	OLD	1
TIM_SPK_0158	0.00	2001	YOUNG	0
TIM_SPK_0159	0.00	2000	YOUNG	0
TIM_SPK_0160	0.00	2000	YOUNG	0
TIM_SPK_0161	0.00	2000	YOUNG	0
TIM_SPK_0162	0.00	2001	YOUNG	0
TIM_SPK_0163	0.00	2000	YOUNG	0
TIM_SPK_0164	0.00	2001	YOUNG	0
TIM_SPK_0165	0.00	2001	YOUNG	0
TIM_SPK_0166	0.00	2001	YOUNG	0
TIM_SPK_0167	0.00	2000	YOUNG	0
