"","speaker","art_abs_freq","nouns","tokens","art_norm_freq","gender","female"
"1","TIM_SPK_0104",9,584,3739,15.4109589,"MALE",0
"2","TIM_SPK_0041",4,563,3273,7.104795737,"FEMALE",1
"3","TIM_SPK_0096",10,831,4507,12.03369434,"FEMALE",1
"4","TIM_SPK_0121",3,683,3568,4.39238653,"FEMALE",1
"5","TIM_SPK_0012",0,1243,6825,0,"FEMALE",1
"6","TIM_SPK_0113",0,253,1290,0,"FEMALE",1
"7","TIM_SPK_0001",3,506,3829,5.928853755,"FEMALE",1
"8","TIM_SPK_0031",26,1137,7003,22.86719437,"FEMALE",1
"9","TIM_SPK_0127",7,1021,6352,6.856023506,"FEMALE",1
"10","TIM_SPK_0095",13,1263,8929,10.29295329,"FEMALE",1
"11","TIM_SPK_0072",4,392,2374,10.20408163,"FEMALE",1
"12","TIM_SPK_0007",4,649,4366,6.163328197,"FEMALE",1
"13","TIM_SPK_0115",4,831,4653,4.813477738,"FEMALE",1
"14","TIM_SPK_0013",91,1175,6680,77.44680851,"FEMALE",1
"15","TIM_SPK_0106",1,781,5035,1.280409731,"FEMALE",1
"16","TIM_SPK_0157",29,1439,10077,20.15288395,"FEMALE",1
"17","TIM_SPK_0025",1,646,3872,1.547987616,"FEMALE",1
"18","TIM_SPK_0003",16,1083,6345,14.77377655,"FEMALE",1
"19","TIM_SPK_0063",119,1412,8271,84.2776204,"FEMALE",1
"20","TIM_SPK_0021",1,718,4134,1.39275766,"MALE",0
"21","TIM_SPK_0111",1,938,5679,1.066098081,"MALE",0
"22","TIM_SPK_0054",54,1166,6759,46.31217839,"FEMALE",1
"23","TIM_SPK_0047",4,190,1320,21.05263158,"FEMALE",1
"24","TIM_SPK_0137",20,569,3478,35.14938489,"MALE",0
"25","TIM_SPK_0151",1,1536,9751,0.651041667,"FEMALE",1
"26","TIM_SPK_0015",10,891,6125,11.22334456,"FEMALE",1
"27","TIM_SPK_0038",2,296,1649,6.756756757,"FEMALE",1
"28","TIM_SPK_0032",3,317,2038,9.463722397,"FEMALE",1
"29","TIM_SPK_0142",2,1089,7872,1.836547291,"MALE",0
"30","TIM_SPK_0068",25,744,4695,33.60215054,"FEMALE",1
"31","TIM_SPK_0082",1,1316,7871,0.759878419,"FEMALE",1
"32","TIM_SPK_0050",28,1864,8815,15.02145923,"FEMALE",1
"33","TIM_SPK_0134",3,228,1404,13.15789474,"FEMALE",1
"34","TIM_SPK_0059",0,638,3704,0,"FEMALE",1
"35","TIM_SPK_0125",12,725,4000,16.55172414,"FEMALE",1
