ID	TRANSCRIPT	PPDSTATUS	GENDER	CASE
1	TOR_C_0001_tagged.txt	NOPPD	F	NOM
2	TOR_C_0001_tagged.txt	NOPPD	F	NOM
3	TOR_C_0001_tagged.txt	NOPPD	F	NOM
4	TOR_C_0001_tagged.txt	NOPPD	F	NOM
5	TOR_C_0001_tagged.txt	NOPPD	F	NOM
6	TOR_C_0001_tagged.txt	NOPPD	F	NOM
7	TOR_C_0001_tagged.txt	NOPPD	F	NOM
8	TOR_C_0001_tagged.txt	NOPPD	F	NOM
9	TOR_C_0001_tagged.txt	NOPPD	F	NOM
10	TOR_C_0001_tagged.txt	NOPPD	M	NOM
11	TOR_C_0001_tagged.txt	NOPPD	M	NOM
12	TOR_C_0001_tagged.txt	PPD	F	NOM
13	TOR_C_0001_tagged.txt	NOPPD	M	NOM
14	TOR_C_0001_tagged.txt	NOPPD	M	NOM
15	TOR_C_0001_tagged.txt	NOPPD	F	NOM
16	TOR_C_0001_tagged.txt	NOPPD	F	NOM
17	TOR_C_0001_tagged.txt	NOPPD	M	NOM
18	TOR_C_0001_tagged.txt	NOPPD	F	NOM
19	TOR_C_0001_tagged.txt	NOPPD	F	NOM
20	TOR_C_0001_tagged.txt	NOPPD	F	NOM
21	TOR_C_0001_tagged.txt	NOPPD	F	NOM
22	TOR_C_0001_tagged.txt	NOPPD	F	NOM
23	TOR_C_0001_tagged.txt	NOPPD	F	NOM
24	TOR_C_0001_tagged.txt	NOPPD	F	NOM
25	TOR_C_0001_tagged.txt	NOPPD	F	NOM
26	TOR_C_0001_tagged.txt	NOPPD	F	NOM
27	TOR_C_0001_tagged.txt	NOPPD	F	NOM
28	TOR_C_0001_tagged.txt	NOPPD	M	NOM
29	TOR_C_0001_tagged.txt	NOPPD	M	NOM
30	TOR_C_0001_tagged.txt	NOPPD	M	NOM
31	TOR_C_0001_tagged.txt	NOPPD	M	NOM
32	TOR_C_0001_tagged.txt	NOPPD	F	NOM
33	TOR_C_0001_tagged.txt	NOPPD	M	NOM
34	TOR_C_0001_tagged.txt	NOPPD	F	NOM
35	TOR_C_0001_tagged.txt	NOPPD	F	NOM
36	TOR_C_0001_tagged.txt	NOPPD	F	NOM
37	TOR_C_0001_tagged.txt	NOPPD	F	NOM
38	TOR_C_0001_tagged.txt	NOPPD	F	NOM
39	TOR_C_0001_tagged.txt	NOPPD	M	NOM
40	TOR_C_0001_tagged.txt	NOPPD	F	NOM
41	TOR_C_0001_tagged.txt	NOPPD	F	NOM
42	TOR_C_0001_tagged.txt	NOPPD	M	NOM
43	TOR_C_0001_tagged.txt	NOPPD	F	NOM
44	TOR_C_0001_tagged.txt	NOPPD	F	NOM
45	TOR_C_0001_tagged.txt	NOPPD	M	NOM
46	TOR_C_0001_tagged.txt	NOPPD	F	NOM
47	TOR_C_0001_tagged.txt	NOPPD	F	NOM
48	TOR_C_0001_tagged.txt	NOPPD	M	NOM
49	TOR_C_0001_tagged.txt	NOPPD	M	NOM
50	TOR_C_0001_tagged.txt	NOPPD	F	NOM
51	TOR_C_0001_tagged.txt	NOPPD	F	NOM
52	TOR_C_0001_tagged.txt	NOPPD	F	NOM
53	TOR_C_0001_tagged.txt	NOPPD	F	NOM
54	TOR_C_0001_tagged.txt	NOPPD	F	NOM
55	TOR_C_0001_tagged.txt	NOPPD	F	NOM
56	TOR_C_0001_tagged.txt	NOPPD	M	NOM
57	TOR_C_0001_tagged.txt	NOPPD	F	NOM
58	TOR_C_0001_tagged.txt	NOPPD	F	NOM
59	TOR_C_0001_tagged.txt	NOPPD	M	NOM
60	TOR_C_0001_tagged.txt	NOPPD	F	NOM
61	TOR_C_0001_tagged.txt	NOPPD	F	NOM
62	TOR_C_0001_tagged.txt	NOPPD	F	NOM
63	TOR_C_0001_tagged.txt	NOPPD	F	NOM
64	TOR_C_0001_tagged.txt	NOPPD	F	NOM
65	TOR_C_0001_tagged.txt	NOPPD	F	NOM
66	TOR_C_0001_tagged.txt	NOPPD	F	NOM
67	TOR_C_0001_tagged.txt	NOPPD	F	NOM
68	TOR_C_0001_tagged.txt	NOPPD	F	NOM
69	TOR_C_0001_tagged.txt	NOPPD	F	NOM
70	TOR_C_0001_tagged.txt	NOPPD	M	NOM
71	TOR_C_0001_tagged.txt	NOPPD	M	NOM
72	TOR_C_0001_tagged.txt	NOPPD	M	NOM
73	TOR_C_0001_tagged.txt	NOPPD	F	NOM
74	TOR_C_0001_tagged.txt	NOPPD	F	NOM
75	TOR_C_0001_tagged.txt	NOPPD	F	NOM
76	TOR_C_0001_tagged.txt	NOPPD	F	NOM
77	TOR_C_0001_tagged.txt	NOPPD	F	NOM
78	TOR_C_0001_tagged.txt	NOPPD	F	NOM
79	TOR_C_0001_tagged.txt	NOPPD	F	NOM
80	TOR_C_0001_tagged.txt	NOPPD	F	NOM
81	TOR_C_0001_tagged.txt	NOPPD	F	NOM
82	TOR_C_0001_tagged.txt	NOPPD	F	NOM
83	TOR_C_0001_tagged.txt	NOPPD	F	NOM
84	TOR_C_0001_tagged.txt	NOPPD	F	NOM
85	TOR_C_0001_tagged.txt	NOPPD	F	NOM
86	TOR_C_0002_tagged.txt	NOPPD	M	NOM
87	TOR_C_0002_tagged.txt	NOPPD	M	NOM
88	TOR_C_0002_tagged.txt	NOPPD	F	NOM
89	TOR_C_0002_tagged.txt	NOPPD	F	NOM
90	TOR_C_0002_tagged.txt	NOPPD	F	NOM
91	TOR_C_0002_tagged.txt	NOPPD	F	NOM
92	TOR_C_0002_tagged.txt	NOPPD	F	NOM
93	TOR_C_0002_tagged.txt	NOPPD	F	NOM
94	TOR_C_0002_tagged.txt	PPD	F	NOM
95	TOR_C_0002_tagged.txt	NOPPD	F	NOM
96	TOR_C_0002_tagged.txt	NOPPD	F	NOM
97	TOR_C_0002_tagged.txt	NOPPD	F	NOM
98	TOR_C_0002_tagged.txt	NOPPD	F	NOM
99	TOR_C_0002_tagged.txt	PPD	F	NOM
100	TOR_C_0002_tagged.txt	PPD	F	NOM
101	TOR_C_0002_tagged.txt	NOPPD	F	NOM
102	TOR_C_0002_tagged.txt	NOPPD	F	NOM
103	TOR_C_0002_tagged.txt	NOPPD	F	NOM
104	TOR_C_0002_tagged.txt	NOPPD	F	NOM
105	TOR_C_0002_tagged.txt	NOPPD	F	NOM
106	TOR_C_0002_tagged.txt	PPD	F	NOM
107	TOR_C_0002_tagged.txt	NOPPD	F	NOM
108	TOR_C_0002_tagged.txt	NOPPD	F	NOM
109	TOR_C_0002_tagged.txt	NOPPD	M	NOM
110	TOR_C_0002_tagged.txt	NOPPD	F	NOM
111	TOR_C_0002_tagged.txt	PPD	F	NOM
112	TOR_C_0002_tagged.txt	NOPPD	M	NOM
113	TOR_C_0002_tagged.txt	NOPPD	M	NOM
114	TOR_C_0002_tagged.txt	NOPPD	F	NOM
115	TOR_C_0002_tagged.txt	NOPPD	F	NOM
116	TOR_C_0002_tagged.txt	PPD	F	NOM
117	TOR_C_0002_tagged.txt	NOPPD	M	NOM
118	TOR_C_0002_tagged.txt	NOPPD	M	NOM
119	TOR_C_0002_tagged.txt	NOPPD	M	NOM
120	TOR_C_0002_tagged.txt	NOPPD	F	NOM
121	TOR_C_0002_tagged.txt	NOPPD	F	NOM
122	TOR_C_0002_tagged.txt	NOPPD	F	NOM
123	TOR_C_0002_tagged.txt	NOPPD	M	NOM
124	TOR_C_0002_tagged.txt	NOPPD	F	NOM
125	TOR_C_0002_tagged.txt	NOPPD	F	NOM
126	TOR_C_0002_tagged.txt	NOPPD	F	NOM
127	TOR_C_0002_tagged.txt	NOPPD	F	NOM
128	TOR_C_0002_tagged.txt	NOPPD	F	NOM
129	TOR_C_0002_tagged.txt	NOPPD	F	NOM
130	TOR_C_0002_tagged.txt	NOPPD	F	NOM
