ID	TRANSCRIPT	PPDSTATUS	GENDER
1	TOR_C_0001_tagged.txt	PPD	M
2	TOR_C_0001_tagged.txt	PPD	F
3	TOR_C_0001_tagged.txt	PPD	F
4	TOR_C_0002_tagged.txt	PPD	N
5	TOR_C_0002_tagged.txt	PPD	N
6	TOR_C_0002_tagged.txt	PPD	N
7	TOR_C_0002_tagged.txt	PPD	N
8	TOR_C_0002_tagged.txt	PPD	M
9	TOR_C_0002_tagged.txt	PPD	F
10	TOR_C_0002_tagged.txt	PPD	M
11	TOR_C_0002_tagged.txt	PPD	F
12	TOR_C_0002_tagged.txt	PPD	F
13	TOR_C_0002_tagged.txt	PPD	M
14	TOR_C_0002_tagged.txt	PPD	M
15	TOR_C_0002_tagged.txt	PPD	M
16	TOR_C_0002_tagged.txt	PPD	M
17	TOR_C_0002_tagged.txt	PPD	F
18	TOR_C_0002_tagged.txt	PPD	F
19	TOR_C_0002_tagged.txt	PPD	F
20	TOR_C_0002_tagged.txt	PPD	F
21	TOR_C_0002_tagged.txt	PPD	F
22	TOR_C_0002_tagged.txt	PPD	N
23	TOR_C_0002_tagged.txt	PPD	M
24	TOR_C_0002_tagged.txt	PPD	M
25	TOR_C_0002_tagged.txt	PPD	F
26	TOR_C_0002_tagged.txt	PPD	F
27	TOR_C_0002_tagged.txt	PPD	F
28	TOR_C_0002_tagged.txt	PPD	F
29	TOR_C_0002_tagged.txt	PPD	F
30	TOR_C_0002_tagged.txt	PPD	M
31	TOR_C_0002_tagged.txt	PPD	F
32	TOR_C_0002_tagged.txt	PPD	F
33	TOR_C_0002_tagged.txt	PPD	F
34	TOR_C_0002_tagged.txt	PPD	F
35	TOR_C_0002_tagged.txt	PPD	N
36	TOR_C_0002_tagged.txt	PPD	N
37	TOR_C_0002_tagged.txt	PPD	F
38	TOR_C_0002_tagged.txt	PPD	N
39	TOR_C_0002_tagged.txt	PPD	F
40	TOR_C_0002_tagged.txt	PPD	F
41	TOR_C_0002_tagged.txt	PPD	M
42	TOR_C_0002_tagged.txt	PPD	F
43	TOR_C_0002_tagged.txt	PPD	F
44	TOR_C_0002_tagged.txt	PPD	M
45	TOR_C_0002_tagged.txt	PPD	M
46	TOR_C_0002_tagged.txt	PPD	M
47	TOR_C_0002_tagged.txt	PPD	M
48	TOR_C_0002_tagged.txt	PPD	M
49	TOR_C_0002_tagged.txt	PPD	M
50	TOR_C_0002_tagged.txt	PPD	F
51	TOR_C_0002_tagged.txt	PPD	M
52	TOR_C_0002_tagged.txt	PPD	M
53	TOR_C_0002_tagged.txt	PPD	M
54	TOR_C_0002_tagged.txt	PPD	M
55	TOR_C_0002_tagged.txt	PPD	M
56	TOR_C_0002_tagged.txt	PPD	N
57	TOR_C_0003_tagged.txt	PPD	F
58	TOR_C_0003_tagged.txt	PPD	F
59	TOR_C_0003_tagged.txt	PPD	F
60	TOR_C_0003_tagged.txt	PPD	F
61	TOR_C_0003_tagged.txt	PPD	F
62	TOR_C_0003_tagged.txt	PPD	F
63	TOR_C_0003_tagged.txt	PPD	F
64	TOR_C_0003_tagged.txt	PPD	F
65	TOR_C_0003_tagged.txt	PPD	M
66	TOR_C_0003_tagged.txt	PPD	M
67	TOR_C_0003_tagged.txt	PPD	M
68	TOR_C_0003_tagged.txt	PPD	F
69	TOR_C_0003_tagged.txt	PPD	M
70	TOR_C_0003_tagged.txt	PPD	F
71	TOR_C_0004_tagged.txt	PPD	M
72	TOR_C_0004_tagged.txt	PPD	M
73	TOR_C_0004_tagged.txt	PPD	M
74	TOR_C_0004_tagged.txt	PPD	F
75	TOR_C_0004_tagged.txt	PPD	M
76	TOR_C_0004_tagged.txt	PPD	M
77	TOR_C_0004_tagged.txt	PPD	M
78	TOR_C_0004_tagged.txt	PPD	F
79	TOR_C_0004_tagged.txt	PPD	M
80	TOR_C_0004_tagged.txt	PPD	M
81	TOR_C_0004_tagged.txt	PPD	F
82	TOR_C_0004_tagged.txt	PPD	N
83	TOR_C_0004_tagged.txt	PPD	M
84	TOR_C_0004_tagged.txt	PPD	F
85	TOR_C_0004_tagged.txt	PPD	F
86	TOR_C_0004_tagged.txt	PPD	M
87	TOR_C_0004_tagged.txt	PPD	F
