Location,NumberSI,NumberVerbs,NormFreqSI,LONGITUDE,LATITUDE,Altitude,DIST_Bul,DIST_city
Aldinac,13,1152,11.28472222,43.5428714,22.4199196,623,4.42,16.44
Balanovac,9,1725,5.217391304,43.5899277,22.133674,327,25.81,7.04
Balinac,76,3387,22.43873634,43.5646192,22.3557609,605,7.45,11.58
Balta Berilovac,3,926,3.239740821,43.395682,22.458715,419,9.85,27
Borovac,8,2047,3.90815828,43.7382209,22.0093976,199,7.99,18.68
Bučje,43,3454,12.44933411,43.6785311,22.0925613,514,20,16.05
Crni Vrh,33,2156,15.30612245,43.4024789,22.5246562,729,3.63,32.05
Ćuštica,18,860,20.93023256,43.3569832,22.471588,794,10.02,33.74
Debelica,19,924,20.56277056,43.6563506,22.2290753,247,13.12,10.8
Donja Kamenica,53,2840,18.66197183,43.4765163,22.284736,281,14.77,10.35
Drečinovac,13,1082,12.01478743,43.6247517,22.1785641,315,23.25,8.14
Drenovac,51,1952,26.12704918,43.693333,22.271111,206,10.89,14.18
Drvnik,19,1650,11.51515152,43.5380928,22.373743,543,7.92,11.96
Gabrovnica,9,1004,8.964143426,43.4510139,22.3809402,376,9.47,19.77
Glogovac,25,1097,22.78942571,43.5657135,22.1901511,304,23.27,4.39
Gornja Sokolovica,52,1687,30.82394784,43.5208244,22.3176096,305,13.23,8.34
Gornje Zuniče,4,1032,3.875968992,43.6040111,22.2726774,235,16.43,4.13
Gradište,6,1044,5.747126437,43.525366,22.3472212,352,11.16,10.41
Guševac,11,1443,7.623007623,43.3907006,22.2558546,521,23.66,19.56
Inovo,24,2346,10.23017903,43.4128949,22.4115079,373,23.27,10.7
Jakovac,33,2079,15.87301587,43.6396024,22.3007863,264,8.9,11.73
Jalovik Izvor,12,1359,8.830022075,43.3885095,22.3518556,628,15.92,21.71
Janja,50,2214,22.58355917,43.4110491,22.5156693,509,6.46,27.41
Jelašnica,29,1333,21.75543886,43.6372203,22.2849081,259,11.24,8.55
Kandalica,1,833,1.200480192,43.5448132,22.3091554,388,12.74,7.84
Knjaževac,14,1297,10.79414032,43.5685949,22.2146125,234,19.23,0.01
Koželj,3,230,13.04347826,43.7012354,22.122858,483,16.18,13.51
Krenta,15,1397,10.7372942,43.4796333,22.2175307,642,21.04,9.73
Lepena,91,5005,18.18181818,43.5802284,22.1697733,315,17.35,9.05
Leskovac,1,480,2.083333333,43.8124103,22.1721277,204,12.61,26.75
Lokva,14,1349,10.37805782,43.5850474,22.1935821,525,12.99,6.48
Mali Izvor,19,2911,6.526966678,43.7367708,22.3332087,205,5.99,18.24
Marinovac,55,1865,29.49061662,43.7289829,22.1742719,464,15,20
Minićevo,13,2847,4.566210046,43.6899103,22.2722911,194,9.25,13.66
Novo Korito,1,177,5.649717514,43.6319102,22.3780715,423,3.11,17.68
Orešac,20,1909,10.47668937,43.5227211,22.1744441,342,24.19,6.25
Ošljane,48,996,48.19277108,43.6619403,22.3198824,520,3.06,16.11
Petruša,10,1219,8.203445447,43.6451933,22.3207421,243,7.59,12.56
Ponor,63,4320,14.58333333,43.4981271,22.1893781,510,21.73,7.73
Pričevac,15,1344,11.16071429,43.4948949,22.3704814,471,10.48,12.82
Radičevac,11,1789,6.148686417,43.5878704,22.4054141,591,13.37,5.64
Ravno Bučje,7,350,20,43.440357,22.5416277,900,1.04,28.9
Repušnica,2,154,12.98701299,43.498993,22.4709931,713,2.32,19.51
Rgošte,10,1014,9.861932939,43.5421972,22.1922969,260,22.66,4.16
Šarbanovac,16,1002,15.96806387,43.599566,22.3428224,229,25.38,10
Selačka,8,2416,3.311258278,43.7048679,22.31416,288,6.37,16.23
Šesti Gabar,15,2050,7.317073171,43.4286652,22.3310848,678,15.43,18.51
Stara Kalna,18,1416,12.71186441,43.4218071,22.3796648,403,14.94,20.72
Staro Korito,28,1094,25.59414991,43.553737,22.3410441,423,10.86,8.98
Štipina,55,2323,23.67628067,43.6044134,22.2263716,223,18.4,3.51
Tijovac,2,864,2.314814815,43.4605466,22.2029399,633,25.94,12.69
Trgovište,29,1938,14.96388029,43.5559776,22.2689437,230,16.56,2.62
Trnovac,28,1889,14.82265749,43.6778332,22.2371434,225,11.83,12.56
Vasilj,16,2648,6.042296073,43.5656435,22.1043201,415,26.75,7.51
Vlahovo,61,5741,10.6253266,43.4221232,22.2966871,568,17.39,17.1
Vrbica,8,1784,4.484304933,43.715833,22.264444,213,10.35,16.73
Žlne,7,734,9.536784741,43.5217533,22.2310065,320,20.28,5.1
Zorunovac,16,999,16.01601602,43.622745,22.0874547,527,25.83,12.75
Žukovac,31,1717,18.05474665,43.5303452,22.2819041,274,15.57,5.89
,,,,,,,,
