ID,Transcript number,Contact_position
1,TOR_C_0041_tagged.txt,si + V
2,TOR_C_0050_tagged.txt,AUX + si + PPART
3,TOR_C_0082_tagged.txt,AUX + si + PPART
4,TOR_C_0002_tagged.txt,Neg + V + si
5,TOR_C_00033_tagged.txt,Neg + V + si
6,TOR_C_00023_tagged.txt,Neg + V + si
7,TOR_C_00019_tagged.txt,Neg + V + si
8,TOR_C_0037_tagged.txt,PPART + AUX + si
9,TOR_C_0058_tagged.txt,PPART + AUX + si
10,TOR_C_00023_tagged.txt,PPART + AUX + si
11,TOR_C_0037_tagged.txt,PPART + AUX + si
12,TOR_C_0048_tagged.txt,PPART + AUX + si
13,TOR_C_0050_tagged.txt,PPART + AUX + si
14,TOR_C_00013_tagged.txt,PPART + AUX + si
15,TOR_C_0005_tagged.txt,PPART + AUX + si
16,TOR_C_0052_tagged.txt,PPART + AUX + si
17,TOR_C_00030_tagged.txt,PPART + AUX + si
18,TOR_C_00024_tagged.txt,PPART + AUX + si
19,TOR_C_0050_tagged.txt,PPART + AUX + si
20,TOR_C_0049_tagged.txt,PPART + AUX + si
21,TOR_C_0057_tagged.txt,PPART + AUX + si
22,TOR_C_0049_tagged.txt,PPART + AUX + si
23,TOR_C_00019_tagged.txt,PPART + AUX + si
24,TOR_C_00019_tagged.txt,PPART + AUX + si
25,TOR_C_00033_tagged.txt,PPART + AUX + si
26,TOR_C_0050_tagged.txt,PPART + si
27,TOR_C_0041_tagged.txt,PPART + si
28,TOR_C_0049_tagged.txt,PPART + si
29,TOR_C_00034_tagged.txt,PPART + si
30,TOR_C_0071_tagged.txt,PPART + si
31,TOR_C_0082_tagged.txt,PPART + si
32,TOR_C_0004_tagged.txt,PPART + si
33,TOR_C_00015_tagged.txt,PPART + si
34,TOR_C_0049_tagged.txt,PPART + si
35,TOR_C_00024_tagged.txt,PPART + si
36,TOR_C_0008_tagged.txt,PPART + si
37,TOR_C_0008_tagged.txt,PPART + si
38,TOR_C_0037_tagged.txt,PPART + si
39,TOR_C_0086_tagged.txt,PPART + si
40,TOR_C_0037_tagged.txt,PPART + si
41,TOR_C_0008_tagged.txt,PPART + si
42,TOR_C_0008_tagged.txt,PPART + si
43,TOR_C_00033_tagged.txt,PPART + si
44,TOR_C_00018_tagged.txt,PPART + si
45,TOR_C_00034_tagged.txt,PPART + si
46,TOR_C_0004_tagged.txt,PPART + si
47,TOR_C_0049_tagged.txt,PPART + si
48,TOR_C_0049_tagged.txt,PPART + si
49,TOR_C_0041_tagged.txt,PPART + si
50,TOR_C_0009_tagged.txt,PPART + si
51,TOR_C_0007_tagged.txt,PPART + si
52,TOR_C_0079_tagged.txt,PPART + si
53,TOR_C_00034_tagged.txt,PPART + si
54,TOR_C_0051_tagged.txt,PPART + si
55,TOR_C_0053_tagged.txt,PPART + si
56,TOR_C_00013_tagged.txt,PPART + si
57,TOR_C_0050_tagged.txt,PPART + si
58,TOR_C_0050_tagged.txt,PPART + si
59,TOR_C_0082_tagged.txt,PPART + si
60,TOR_C_00011_tagged.txt,PPART + si
61,TOR_C_0061_tagged.txt,PPART + si
62,TOR_C_0002_tagged.txt,PPART + si
63,TOR_C_0071_tagged.txt,PPART + si
64,TOR_C_0050_tagged.txt,PPART + si
65,TOR_C_00022_tagged.txt,PPART + si
66,TOR_C_00034_tagged.txt,PPART + si
67,TOR_C_0055_tagged.txt,PPART + si
68,TOR_C_0071_tagged.txt,PPART + si
69,TOR_C_0041_tagged.txt,PPART + si
70,TOR_C_00024_tagged.txt,PPART + si
71,TOR_C_0050_tagged.txt,PPART + si
72,TOR_C_0079_tagged.txt,PPART + si
73,TOR_C_0055_tagged.txt,PPART + si
74,TOR_C_0089_tagged.txt,PPART + si
75,TOR_C_0046_tagged.txt,PPART + si
76,TOR_C_0048_tagged.txt,PPART + si
77,TOR_C_00029_tagged.txt,PPART + si
78,TOR_C_0089_tagged.txt,PPART + si
79,TOR_C_00025_tagged.txt,PPART + si
80,TOR_C_0009_tagged.txt,PPART + si
81,TOR_C_0047_tagged.txt,PPART + si
82,TOR_C_0037_tagged.txt,PPART + si
83,TOR_C_0086_tagged.txt,PPART + si
84,TOR_C_0050_tagged.txt,PPART + si
85,TOR_C_0041_tagged.txt,PPART + si
86,TOR_C_0061_tagged.txt,PPART + si
87,TOR_C_00033_tagged.txt,PPART + si
88,TOR_C_0049_tagged.txt,PPART + si
89,TOR_C_0050_tagged.txt,PPART + si
90,TOR_C_00019_tagged.txt,PPART + si
91,TOR_C_0050_tagged.txt,PPART + si
92,TOR_C_0049_tagged.txt,si + AUX + PPART
93,TOR_C_0076_tagged.txt,si + AUX + PPART
94,TOR_C_0076_tagged.txt,si + AUX + PPART
95,TOR_C_0049_tagged.txt,si + AUX + PPART
96,TOR_C_0042_tagged.txt,si + AUX + PPART
97,TOR_C_00011_tagged.txt,si + AUX + PPART
98,TOR_C_00029_tagged.txt,si + Neg + V
99,TOR_C_00034_tagged.txt,si + Neg + V
100,TOR_C_0077_tagged.txt,si + Neg + V
101,TOR_C_0101_tagged.txt,si + Neg + V
102,TOR_C_00034_tagged.txt,si + Neg + V
103,TOR_C_00023_tagged.txt,si + Neg + V
104,TOR_C_0062_tagged.txt,si + Neg + V
105,TOR_C_00019_tagged.txt,si + AUX + PPART
106,TOR_C_0055_tagged.txt,si + PPART
107,TOR_C_00020_tagged.txt,si + PPART
108,TOR_C_0055_tagged.txt,si + PPART
109,TOR_C_0052_tagged.txt,si + PPART
110,TOR_C_0101_tagged.txt,si + PPART
111,TOR_C_0041_tagged.txt,si + PPART
112,TOR_C_0069_tagged.txt,si + PPART
113,TOR_C_00019_tagged.txt,si + PPART
114,TOR_C_0049_tagged.txt,si + PPART
115,TOR_C_0056_tagged.txt,si + PPART
116,TOR_C_0051_tagged.txt,si + PPART
117,TOR_C_0005_tagged.txt,si + PPART
118,TOR_C_0003_tagged.txt,si + PPART
119,TOR_C_0090_tagged.txt,si + PPART
120,TOR_C_00010_tagged.txt,si + PPART
121,TOR_C_00033_tagged.txt,si + PPART
122,TOR_C_00011_tagged.txt,si + PPART
123,TOR_C_0049_tagged.txt,si + PPART
124,TOR_C_00024_tagged.txt,si + PPART
125,TOR_C_0049_tagged.txt,si + PPART
126,TOR_C_00012_tagged.txt,si + PPART
127,TOR_C_00030_tagged.txt,si + PPART
128,TOR_C_0001_tagged.txt,si + PPART
129,TOR_C_0053_tagged.txt,si + PPART
130,TOR_C_0063_tagged.txt,si + PPART
131,TOR_C_00011_tagged.txt,si + PPART
132,TOR_C_0061_tagged.txt,si + PPART
133,TOR_C_00024_tagged.txt,si + PPART
134,TOR_C_0054_tagged.txt,si + PPART
135,TOR_C_00030_tagged.txt,si + PPART
136,TOR_C_00020_tagged.txt,si + PPART
137,TOR_C_0079_tagged.txt,si + PPART
138,TOR_C_0003_tagged.txt,si + PPART
139,TOR_C_00010_tagged.txt,si + PPART
140,TOR_C_00030_tagged.txt,si + PPART
141,TOR_C_0051_tagged.txt,si + PPART
142,TOR_C_00029_tagged.txt,si + PPART
143,TOR_C_0002_tagged.txt,si + PPART
144,TOR_C_00013_tagged.txt,si + PPART
145,TOR_C_0048_tagged.txt,si + PPART
146,TOR_C_00019_tagged.txt,si + PPART
147,TOR_C_0002_tagged.txt,si + PPART
148,TOR_C_0048_tagged.txt,si + PPART
149,TOR_C_0070_tagged.txt,si + PPART
150,TOR_C_0049_tagged.txt,si + PPART
