ID	Transcript number	PERSON	NUMBER	PERSON.NUMBER	ANIMACY	REFLEXIVITY	VOICE
1	TOR_C_0037_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
2	TOR_C_0041_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
3	TOR_C_0002_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
4	TOR_C_0002_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
5	TOR_C_0003_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
6	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
7	TOR_C_0052_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
8	TOR_C_0002_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
9	TOR_C_0052_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
10	TOR_C_00011_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
11	TOR_C_00024_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
12	TOR_C_00024_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
13	TOR_C_0050_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
14	TOR_C_0055_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
15	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
16	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
17	TOR_C_0082_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
18	TOR_C_0053_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
19	TOR_C_00033_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
20	TOR_C_0041_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
21	TOR_C_0083_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
22	TOR_C_0083_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
23	TOR_C_0041_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
24	TOR_C_0069_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
25	TOR_C_00034_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
26	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
27	TOR_C_0071_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
28	TOR_C_0071_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
29	TOR_C_0083_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
30	TOR_C_0009_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
31	TOR_C_0009_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
32	TOR_C_0040_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
33	TOR_C_0050_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
34	TOR_C_0003_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
35	TOR_C_0005_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
36	TOR_C_00013_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
37	TOR_C_00013_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
38	TOR_C_0001_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
39	TOR_C_00010_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
40	TOR_C_00010_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
41	TOR_C_00034_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
42	TOR_C_00034_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
43	TOR_C_00034_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
44	TOR_C_0041_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
45	TOR_C_0045_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
46	TOR_C_0046_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
47	TOR_C_0046_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
48	TOR_C_0052_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
49	TOR_C_0071_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
50	TOR_C_0071_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
51	TOR_C_0101_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
52	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
53	TOR_C_00024_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
54	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
55	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
56	TOR_C_00033_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
57	TOR_C_0047_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
58	TOR_C_0100_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
59	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
60	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
61	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
62	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
63	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
64	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
65	TOR_C_0037_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
66	TOR_C_00023_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
