transcript,perf_count,perf_aux,perf_no_aux,perf_no_aux_norm,old,OLD_1
TIM_SPK_0052,1,1,0,0,OLD,1
TIM_SPK_0030,2,1,1,500,OLD,1
TIM_SPK_0042,2,1,1,500,OLD,1
TIM_SPK_0120,3,1,2,666.6666667,OLD,1
TIM_SPK_0167,3,3,0,0,YOUNG,0
TIM_SPK_0107,5,4,1,200,OLD,1
TIM_SPK_0164,5,3,2,400,YOUNG,0
TIM_SPK_0165,5,2,3,600,YOUNG,0
TIM_SPK_0027,7,7,0,0,OLD,1
TIM_SPK_0044,7,6,1,142.8571429,OLD,1
TIM_SPK_0162,8,6,2,250,YOUNG,0
TIM_SPK_0166,11,3,8,727.2727273,YOUNG,0
TIM_SPK_0159,14,10,4,285.7142857,YOUNG,0
TIM_SPK_0036,20,10,10,500,OLD,1
TIM_SPK_0043,21,13,8,380.952381,OLD,1
TIM_SPK_0163,27,12,15,555.5555556,YOUNG,0
TIM_SPK_0014,29,11,18,620.6896552,YOUNG,0
TIM_SPK_0008,32,15,17,531.25,OLD,1
TIM_SPK_0143,32,7,25,781.25,OLD,1
TIM_SPK_0047,40,20,20,500,OLD,1
TIM_SPK_0113,42,19,23,547.6190476,OLD,1
TIM_SPK_0154,42,22,20,476.1904762,OLD,1
TIM_SPK_0168,56,27,29,517.8571429,YOUNG,0
TIM_SPK_0123,60,21,39,650,OLD,1
TIM_SPK_0071,66,27,39,590.9090909,OLD,1
TIM_SPK_0072,68,33,35,514.7058824,OLD,1
TIM_SPK_0035,69,30,39,565.2173913,OLD,1
TIM_SPK_0131,70,36,34,485.7142857,OLD,1
TIM_SPK_0134,71,23,48,676.056338,OLD,1
TIM_SPK_0161,74,42,32,432.4324324,YOUNG,0
TIM_SPK_0135,78,53,25,320.5128205,OLD,1
TIM_SPK_0160,82,45,37,451.2195122,YOUNG,0
TIM_SPK_0038,89,52,37,415.7303371,OLD,1
TIM_SPK_0137,95,47,48,505.2631579,OLD,1
TIM_SPK_0021,117,61,56,478.6324786,OLD,1
TIM_SPK_0005,118,53,65,550.8474576,OLD,1
TIM_SPK_0145,119,86,33,277.3109244,OLD,1
TIM_SPK_0001,127,71,56,440.9448819,OLD,1
TIM_SPK_0121,128,79,49,382.8125,OLD,1
TIM_SPK_0133,130,61,69,530.7692308,OLD,1
TIM_SPK_0041,134,48,86,641.7910448,OLD,1
TIM_SPK_0129,140,73,67,478.5714286,OLD,1
TIM_SPK_0013,156,73,83,532.0512821,OLD,1
TIM_SPK_0104,156,67,89,570.5128205,OLD,1
TIM_SPK_0059,160,40,120,750,OLD,1
TIM_SPK_0125,175,64,111,634.2857143,OLD,1
TIM_SPK_0098,180,66,114,633.3333333,OLD,1
TIM_SPK_0057,187,95,92,491.9786096,OLD,1
TIM_SPK_0068,187,76,111,593.5828877,OLD,1
TIM_SPK_0007,193,106,87,450.7772021,OLD,1
TIM_SPK_0115,199,82,117,587.9396985,OLD,1
TIM_SPK_0011,201,72,129,641.7910448,OLD,1
TIM_SPK_0025,202,84,118,584.1584158,OLD,1
TIM_SPK_0139,202,94,108,534.6534653,OLD,1
TIM_SPK_0096,211,108,103,488.1516588,OLD,1
TIM_SPK_0142,211,87,124,587.6777251,OLD,1
TIM_SPK_0058,212,88,124,584.9056604,OLD,1
TIM_SPK_0106,226,105,121,535.3982301,OLD,1
TIM_SPK_0111,227,114,113,497.7973568,OLD,1
TIM_SPK_0119,233,100,133,570.8154506,OLD,1
TIM_SPK_0028,234,114,120,512.8205128,OLD,1
TIM_SPK_0109,234,104,130,555.5555556,OLD,1
TIM_SPK_0009,236,114,122,516.9491525,OLD,1
TIM_SPK_0003,243,86,157,646.090535,OLD,1
TIM_SPK_0063,256,108,148,578.125,OLD,1
TIM_SPK_0037,269,124,145,539.0334572,OLD,1
TIM_SPK_0015,270,158,112,414.8148148,OLD,1
TIM_SPK_0056,272,87,185,680.1470588,OLD,1
TIM_SPK_0127,286,129,157,548.951049,OLD,1
TIM_SPK_0049,288,152,136,472.2222222,OLD,1
TIM_SPK_0151,295,162,133,450.8474576,OLD,1
TIM_SPK_0012,301,114,187,621.2624585,OLD,1
TIM_SPK_0031,315,138,177,561.9047619,OLD,1
TIM_SPK_0045,320,164,156,487.5,OLD,1
TIM_SPK_0082,321,150,171,532.7102804,OLD,1
TIM_SPK_0101,333,112,221,663.6636637,OLD,1
TIM_SPK_0050,357,171,186,521.0084034,OLD,1
TIM_SPK_0017,412,228,184,446.6019417,OLD,1
TIM_SPK_0157,427,173,254,594.8477752,OLD,1
TIM_SPK_0095,453,272,181,399.5584989,OLD,1
TIM_SPK_0088,496,207,289,582.6612903,OLD,1
TIM_SPK_0040,506,217,289,571.1462451,OLD,1
