ID	LOCATION	LONGITUDE	LATITUDE	total	total_aux	no_aux	GEN
TOR_C_0001	Oöljane	43.6619403	22.3198824	95	52	43	FEMALE
TOR_C_0002	Drvnik	43.5380928	22.373743	204	78	124	FEMALE
TOR_C_0003	Balinac	43.5646192	22.3557611	184	63	121	FEMALE
TOR_C_0004	?uötica	43.3569832	22.471588	89	43	46	FEMALE
TOR_C_0005	Gornje Zuni?e	43.6040111	22.2726774	155	81	73	FEMALE
TOR_C_0006	Novo Korito	43.6319102	22.3780715	19	10	9	FEMALE
TOR_C_0007	Trnovac	43.6778332	22.2371434	123	57	65	FEMALE
TOR_C_0008	Trnovac	43.6778332	22.2371434	91	37	54	FEMALE
TOR_C_0009	Jelaönica	43.6372203	22.2849081	127	44	83	FEMALE
TOR_C_0010	Lepena	43.6440399	22.1964597	182	66	116	FEMALE
TOR_C_0011	Trgoviöte	43.5559776	22.2689437	100	36	63	FEMALE
TOR_C_0012	éukovac	43.5303452	22.2819041	78	35	43	FEMALE
TOR_C_0013	éukovac	43.5303452	22.2819041	109	61	48	FEMALE
TOR_C_0015	élne	43.5217533	22.2310065	99	40	59	FEMALE
TOR_C_0016	Vasilj	43.5656435	22.1043201	325	159	165	FEMALE
TOR_C_0017	Tijovac	43.4605466	22.2029399	18	4	14	FEMALE
TOR_C_0018	Dre?inovac	43.6247517	22.1785641	137	59	78	
TOR_C_0019	Gornja Sokolovica	43.5208244	22.3176096	178	87	89	FEMALE
TOR_C_0020	Mali Izvor	43.7367708	22.3332087	410	173	236	FEMALE
TOR_C_0021	Ravno Bu?je	43.440357	22.5416277	47	20	27	FEMALE
TOR_C_0022	Repuönica	43.498993	22.4709931	17	8	9	FEMALE
TOR_C_0023	äesti Gabar	43.4286652	22.3310848	289	153	133	FEMALE
TOR_C_0024	Bu?je	43.6785311	22.0925613	482	195	287	FEMALE
TOR_C_0025	Koûelj	43.7012354	22.122858	26	17	9	FEMALE
TOR_C_0027	Kandalica	43.5448132	22.3091554	83	51	31	FEMALE
TOR_C_0028	Inovo	43.4128949	22.4115079	31	16	15	MALE
TOR_C_0029	Inovo	43.4128949	22.4115079	217	104	111	FEMALE
TOR_C_0030	Jakovac	43.6396024	22.3007863	228	109	117	FEMALE
TOR_C_0031	Jakovac	43.6396024	22.3007863	9	6	3	FEMALE
TOR_C_0032	Jakovac	43.6396024	22.3007863	38	15	23	FEMALE
TOR_C_0033	Balinac	43.5646192	22.3557609	215	113	101	FEMALE
TOR_C_0034	Ponor	43.4981271	22.1893781	471	188	276	FEMALE
TOR_C_0035	Sastavci	43.5934153	22.1992064	57	6	51	FEMALE
TOR_C_0037	Vlahovo	43.4221232	22.2966871	419	130	289	
TOR_C_0038	Janja	43.4110491	22.5156693	26	17	8	
