"","LOCATION","perf_count","perf_aux","perf_no_aux","perf_no_aux_norm","latitude","longitude","Altitude","DIST_city"
"1","Aldinac",212,108,104,490.566037735849,43.5428714,22.4199196,623,16.44
"2","Balanovac",726,445,281,387.052341597796,43.5899277,22.133674,372,7.9
"3","Balinac",245,88,157,640.816326530612,43.5646192,22.3557611,605,11.58
"4","Balinac",245,88,157,640.816326530612,43.5646192,22.3557611,605,11.58
"5","Balta Berilovac",95,47,48,505.263157894737,43.395682,22.458715,419,27
"6","Borovac",243,94,149,613.168724279835,43.7382209,22.0093976,199,18.68
"7","Bučje",642,266,376,585.669781931464,43.6785311,22.0925613,514,16.05
"8","Bulinovac",120,86,34,283.333333333333,43.603389,22.1680926,334,6.97
"9","Crni Vrh",334,113,221,661.676646706587,43.4024789,22.5246562,729,32.05
"10","Ćuštica",118,53,65,550.847457627119,43.3569832,22.471588,794,33.74
"11","Debelica",161,72,89,552.795031055901,43.6563506,22.2290753,247,10.8
"12","Donja Kamenica",386,158,228,590.673575129534,43.4765163,22.284736,281,10.35
"13","Drečinovac",214,92,122,570.093457943925,43.6247517,22.1785641,315,8.14
"14","Drenovac",474,196,278,586.497890295359,43.693333,22.271111,206,14.18
"15","Drvnik",232,97,135,581.896551724138,43.5380928,22.373743,597,11.96
"16","Gabrovnica",156,67,89,570.512820512821,43.4510139,22.3809402,376,19.77
"17","Glogovac",140,73,67,478.571428571429,43.5657135,22.1901511,304,4.39
"18","Gornja Sokolovica",236,115,121,512.71186440678,43.5208244,22.3176096,305,8.34
"19","Gornje Zuniče",193,106,87,450.777202072539,43.6040111,22.2726774,235,4.13
"20","Gradište",201,84,117,582.089552238806,43.525366,22.3472212,352,10.41
"21","Grlište",320,164,156,487.5,43.811509,22.2213931,177,15.5
"22","Guševac",240,117,123,512.5,43.3907006,22.2558546,521,12.21
"23","Inovo",328,172,156,475.609756097561,43.4128949,22.4115079,373,10.7
"24","Jakovac",358,172,186,519.553072625698,43.6396024,22.3007863,264,11.73
"25","Jalovik Izvor",134,60,74,552.238805970149,43.3885095,22.3518556,628,21.71
"26","Janja",569,309,260,456.942003514939,43.4143799,22.5019092,509,27.41
"27","Janja",569,309,260,456.942003514939,43.4143799,22.5019092,509,27.41
"28","Jelašnica",201,72,129,641.791044776119,43.6372203,22.2849081,259,8.55
"29","Kandalica",95,58,37,389.473684210526,43.5448132,22.3091554,388,7.84
"30","Knjaževac",197,112,85,431.472081218274,43.5685949,22.2146125,234,0.01
"31","Koželj",28,19,9,321.428571428571,43.7012354,22.122858,483,13.51
"32","Krenta",234,104,130,555.555555555556,43.4796333,22.2175307,642,9.73
"33","Lepena",1254,594,660,526.315789473684,43.6516231,22.1690631,315,9.05
"34","Lepena",1254,594,660,526.315789473684,43.6516231,22.1690631,315,9.05
"35","Leskovac",148,89,59,398.648648648649,43.8124103,22.1721277,204,11.43
"36","Leskovac",148,89,59,398.648648648649,43.8124103,22.1721277,204,11.43
"37","Leskovac",148,89,59,398.648648648649,43.8124103,22.1721277,204,11.43
"38","Leskovac",148,89,59,398.648648648649,43.8124103,22.1721277,204,11.43
"39","Lokva",202,94,108,534.653465346535,43.5850474,22.1935821,525,6.48
"40","Mali Izvor",463,188,275,593.952483801296,43.7367708,22.3332087,205,18.24
"41","Marinovac",334,159,175,523.952095808383,43.7289829,22.1742719,464,20
"42","Minićevo",499,266,233,466.933867735471,43.6899103,22.2722911,194,13.66
"43","Novo Korito",32,15,17,531.25,43.6319102,22.3780715,423,17.68
"44","Orešac",270,134,136,503.703703703704,43.5227211,22.1744441,342,6.25
"45","Ošljane",539,299,240,445.269016697588,43.6619403,22.3198824,520,16.11
"46","Petruša",502,277,225,448.207171314741,43.6451933,22.3207421,243,12.56
"47","Ponor",671,270,401,597.615499254843,43.4981271,22.1893781,510,7.73
"48","Pričevac",181,66,115,635.359116022099,43.4948949,22.3704814,471,12.82
"49","Radičevac",236,101,135,572.033898305085,43.5878704,22.4054141,591,5.64
"50","Ravno Bučje",69,30,39,565.217391304348,43.440357,22.5416277,644,43.2
"51","Repušnica",20,10,10,500,43.498993,22.4709931,838,31.3
"52","Rgošte",128,79,49,382.8125,43.5421972,22.1922969,260,4.16
"53","Šarbanovac",176,80,96,545.454545454545,43.599566,22.3428224,229,10
"54","Sastavak",187,45,142,759.358288770053,43.5934153,22.1992064,275,4.6
"55","Selačka",304,167,137,450.657894736842,43.7048679,22.31416,288,16.23
"56","Šesti Gabar",385,191,194,503.896103896104,43.4286652,22.3310848,678,18.51
"57","Stara Kalna",235,85,150,638.297872340426,43.4218071,22.3796648,403,20.72
"58","Staro Korito",166,67,99,596.385542168675,43.553737,22.3410441,423,8.98
"59","Štipina",480,284,196,408.333333333333,43.6044134,22.2263716,223,3.51
"60","Tijovac",117,61,56,478.632478632479,43.4605466,22.2029399,633,12.69
"61","Trgovište",246,113,133,540.650406504065,43.5559776,22.2689437,230,2.62
"62","Trnovac",245,117,128,522.448979591837,43.6778332,22.2371434,225,12.56
"63","Vasilj",444,238,206,463.963963963964,43.5656435,22.1043201,415,7.51
"64","Vlahovo",873,270,603,690.721649484536,43.4221232,22.2966871,568,17.1
"65","Vrbica",290,131,159,548.275862068965,43.715833,22.264444,213,16.73
"66","Žlne",145,62,83,572.413793103448,43.5217533,22.2310065,320,5.1
"67","Zorunovac",143,70,73,510.489510489511,43.622745,22.0874547,527,12.75
"68","Žukovac",270,158,112,414.814814814815,43.5303452,22.2819041,274,5.89
