transcript,perf_count,perf_aux,perf_no_aux,perf_no_aux_norm,perf_aux_norm
SPK_0052,1,1,0,0,1000
SPK_0066,1,0,1,1000,0
SPK_0097,1,0,1,1000,0
SPK_0099,1,0,1,1000,0
SPK_0103,1,1,0,0,1000
SPK_0112,1,1,0,0,1000
SPK_0146,1,0,1,1000,0
SPK_0155,1,1,0,0,1000
SPK_0030,2,1,1,500,500
SPK_0042,2,1,1,500,500
SPK_0055,2,2,0,0,1000
SPK_0064,2,2,0,0,1000
SPK_0090,2,0,2,1000,0
SPK_0091,2,1,1,500,500
SPK_0070,3,2,1,333.3333333,666.6666667
SPK_0120,3,1,2,666.6666667,333.3333333
SPK_0167,3,3,0,0,1000
SPK_0128,4,2,2,500,500
SPK_0158,4,0,4,1000,0
SPK_0026,5,1,4,800,200
SPK_0107,5,4,1,200,800
SPK_0164,5,3,2,400,600
SPK_0165,5,2,3,600,400
SPK_0150,6,3,3,500,500
SPK_0027,7,7,0,0,1000
SPK_0033,7,4,3,428.5714286,571.4285714
SPK_0044,7,6,1,142.8571429,857.1428571
SPK_0065,7,4,3,428.5714286,571.4285714
SPK_0162,8,6,2,250,750
SPK_0010,9,3,6,666.6666667,333.3333333
SPK_0080,9,4,5,555.5555556,444.4444444
SPK_0108,9,8,1,111.1111111,888.8888889
SPK_0149,9,3,6,666.6666667,333.3333333
SPK_0153,9,5,4,444.4444444,555.5555556
SPK_0078,10,8,2,200,800
SPK_0166,11,3,8,727.2727273,272.7272727
SPK_0083,13,9,4,307.6923077,692.3076923
SPK_0081,14,5,9,642.8571429,357.1428571
SPK_0159,14,10,4,285.7142857,714.2857143
SPK_0148,16,6,10,625,375
SPK_0019,19,17,2,105.2631579,894.7368421
SPK_0036,20,10,10,500,500
SPK_0077,20,7,13,650,350
SPK_0043,21,13,8,380.952381,619.047619
SPK_0039,27,15,12,444.4444444,555.5555556
SPK_0060,27,5,22,814.8148148,185.1851852
SPK_0163,27,12,15,555.5555556,444.4444444
SPK_0014,29,11,18,620.6896552,379.3103448
SPK_0008,32,15,17,531.25,468.75
SPK_0143,32,7,25,781.25,218.75
SPK_0047,40,20,20,500,500
SPK_0113,42,19,23,547.6190476,452.3809524
SPK_0154,42,22,20,476.1904762,523.8095238
SPK_0168,56,27,29,517.8571429,482.1428571
SPK_0123,60,21,39,650,350
SPK_0071,66,27,39,590.9090909,409.0909091
SPK_0072,68,33,35,514.7058824,485.2941176
SPK_0035,69,30,39,565.2173913,434.7826087
SPK_0131,70,36,34,485.7142857,514.2857143
SPK_0134,71,23,48,676.056338,323.943662
SPK_0161,74,42,32,432.4324324,567.5675676
SPK_0135,78,53,25,320.5128205,679.4871795
SPK_0160,82,45,37,451.2195122,548.7804878
SPK_0038,89,52,37,415.7303371,584.2696629
SPK_0046,95,58,37,389.4736842,610.5263158
SPK_0137,95,47,48,505.2631579,494.7368421
SPK_0147,112,58,54,482.1428571,517.8571429
SPK_0021,117,61,56,478.6324786,521.3675214
SPK_0005,118,53,65,550.8474576,449.1525424
SPK_0145,119,86,33,277.3109244,722.6890756
SPK_0018,126,45,81,642.8571429,357.1428571
SPK_0001,127,71,56,440.9448819,559.0551181
SPK_0121,128,79,49,382.8125,617.1875
SPK_0133,130,61,69,530.7692308,469.2307692
SPK_0041,134,48,86,641.7910448,358.2089552
SPK_0129,140,73,67,478.5714286,521.4285714
SPK_0034,141,46,95,673.7588652,326.2411348
SPK_0013,156,73,83,532.0512821,467.9487179
SPK_0104,156,67,89,570.5128205,429.4871795
